product_id,sku,product_name,category,brand,unit_price,cost_price,tax_rate,supplier_name,is_active,created_date
P00033,GRO-HOM-00033,HomeEase Basmati Rice 5kg,Grocery,HomeEase,759.93,540.64,5,Bharat Supply Co,N,2021-02-17
P00034,BOO-GRE-00034,GreenLeaf Python for Analytics,Books,GreenLeaf,1062.85,610.21,5,Bharat Supply Co,Y,2021-03-11
P00035,BEA-HOM-00035,HomeEase Sunscreen SPF50,Beauty,HomeEase,742.31,469.38,12,Global Distributors,N,2022-04-30
P00036,HOM-APE-00036,Apex Air Fryer,Home & Kitchen,Apex,7829.45,5939.28,28,Metro Wholesale,Y,2025-09-26
P00037,FAS-FRE-00037,FreshNest Sports T-shirt,Fashion,FreshNest,721.86,559.28,5,Global Distributors,Y,2020-06-10
P00038,SPO-GRE-00038,GreenLeaf Football,Sports,GreenLeaf,1144.27,654.35,5,Global Distributors,Y,2021-11-29
P00039,BOO-NOV-00039,Nova SQL Interview Guide,Books,Nova,698.34,439.13,28,Northstar Traders,Y,2024-04-28
P00040,GRO-URB-00040,UrbanCart Organic Honey,Grocery,UrbanCart,446.72,317.22,12,Global Distributors,N,2025-05-31
P00041,HOM-GRE-00041,GreenLeaf Dinner Set,Home & Kitchen,GreenLeaf,2903.0,2004.85,12,Northstar Traders,N,2021-04-07
P00042,ELE-BLU-00042,BluePeak Mechanical Keyboard,Electronics,BluePeak,2991.45,2242.74,12,Bharat Supply Co,Y,2024-11-07
P00043,FAS-GRE-00043,GreenLeaf Sports T-shirt,Fashion,GreenLeaf,635.71,470.48,5,Global Distributors,Y,2025-09-01
P00044,BEA-NOV-00044,Nova Moisturizer,Beauty,Nova,574.14,358.12,18,Global Distributors,Y,2024-03-30
P00045,GRO-PRI-00045,PrimeWorks Almonds 500g,Grocery,PrimeWorks,667.98,498.99,5,Northstar Traders,Y,2021-02-24
P00046,BOO-NOV-00046,Nova Data Engineering Handbook,Books,Nova,1515.56,1169.3,12,Northstar Traders,Y,2024-01-28
P00047,BEA-BLU-00047,BluePeak Hair Serum,Beauty,BluePeak,428.55,296.79,18,Northstar Traders,Y,2021-02-03
P00048,FAS-TEC-00048,TechPro Running Shoes,Fashion,TechPro,3206.16,2039.1,12,Northstar Traders,Y,2024-08-03
P00049,HOM-GRE-00049,GreenLeaf Air Fryer,Home & Kitchen,GreenLeaf,6552.71,4846.7,18,Global Distributors,N,2020-07-09
P00050,BOO-SWI-00050,SwiftRun Data Engineering Handbook,Books,SwiftRun,1341.81,919.87,28,Global Distributors,Y,2024-11-07
P00051,BOO-PRI-00051,PrimeWorks Python for Analytics,Books,PrimeWorks,826.59,609.62,18,Pacific Imports,N,2024-09-10
P00052,BEA-TEC-00052,TechPro Moisturizer,Beauty,TechPro,503.56,316.67,12,Metro Wholesale,N,2025-09-29
P00053,BEA-HOM-00053,HomeEase Sunscreen SPF50,Beauty,HomeEase,660.72,393.92,18,Bharat Supply Co,Y,2021-12-29
P00054,FAS-NOV-00054,Nova Sports T-shirt,Fashion,Nova,806.86,548.12,28,Pacific Imports,Y,2024-09-26
P00055,ELE-URB-00055,UrbanCart Power Bank 20000mAh,Electronics,UrbanCart,1741.58,980.54,12,Bharat Supply Co,Y,2021-08-22
P00056,FAS-HOM-00056,HomeEase Women Kurti,Fashion,HomeEase,1034.64,762.76,12,Pacific Imports,N,2022-08-31
P00057,SPO-APE-00057,Apex Football,Sports,Apex,1219.37,779.35,18,Pacific Imports,Y,2020-02-23
P00058,BEA-FRE-00058,FreshNest Hair Serum,Beauty,FreshNest,484.62,345.08,12,Metro Wholesale,Y,2025-01-12
P00059,HOM-HOM-00059,HomeEase Mixer Grinder,,HomeEase,3141.2,1757.02,18,Metro Wholesale,Y,2022-11-10
P00060,HOM-URB-00060,UrbanCart Air Fryer,Home & Kitchen,UrbanCart,8548.94,5875.54,18,Northstar Traders,Y,2020-10-25
P00061,HOM-HOM-00061,HomeEase Mixer Grinder,Home & Kitchen,HomeEase,3069.57,2044.89,28,Global Distributors,Y,2022-06-25
P00062,FAS-TEC-00062,TechPro Running Shoes,Fashion,TechPro,2811.2,2032.81,5,Global Distributors,Y,2024-12-30
P00063,BOO-APE-00063,Apex Python for Analytics,Books,Apex,1009.6,629.8,5,Northstar Traders,Y,2023-03-04
P00064,BEA-HOM-00064,HomeEase Sunscreen SPF50,Beauty,HomeEase,701.5,457.71,12,Bharat Supply Co,Y,2021-01-28
P00065,BOO-APE-00065,Apex Business Strategy Casebook,Books,Apex,879.52,526.37,12,Northstar Traders,Y,2022-04-22
P00066,SPO-NOV-00066,Nova Badminton Racket,Sports,Nova,1721.99,1007.99,18,Global Distributors,Y,2020-10-27
P00067,BOO-PRI-00067,PrimeWorks Data Engineering Handbook,Books,PrimeWorks,1531.06,1162.88,28,Northstar Traders,N,2023-07-19
P00068,BOO-PRI-00068,PrimeWorks Data Engineering Handbook,Books,PrimeWorks,1137.01,820.43,5,Bharat Supply Co,Y,2023-04-02
P00069,ELE-SWI-00069,SwiftRun Mechanical Keyboard,Electronics,SwiftRun,3507.98,2592.71,12,Pacific Imports,Y,2021-07-12
P00070,BEA-TEC-00070,TechPro Perfume 100ml,Beauty,TechPro,1603.04,934.79,18,Global Distributors,Y,2021-05-19
P00071,GRO-HOM-00071,HomeEase Breakfast Cereal,Grocery,HomeEase,490.29,304.02,18,Metro Wholesale,N,2025-09-30
P00072,BOO-FRE-00072,FreshNest SQL Interview Guide,Books,FreshNest,626.2,441.05,5,Pacific Imports,N,2020-10-26
P00073,ELE-PRI-00073,PrimeWorks Laptop Stand,Electronics,PrimeWorks,1357.29,849.79,12,Global Distributors,Y,2020-10-12
P00074,GRO-PRI-00074,PrimeWorks Green Tea Pack,,PrimeWorks,388.71,275.79,18,Bharat Supply Co,N,2021-11-21
P00075,HOM-GRE-00075,GreenLeaf LED Desk Lamp,Home & Kitchen,GreenLeaf,959.71,607.19,18,Northstar Traders,N,2024-12-29
P00076,BOO-URB-00076,UrbanCart Data Engineering Handbook,Books,UrbanCart,1439.58,818.91,12,Pacific Imports,Y,2022-12-14
P00077,SPO-APE-00077,Apex Yoga Mat,Sports,Apex,950.68,660.98,28,Pacific Imports,Y,2020-05-30
P00078,BOO-URB-00078,UrbanCart Cloud Architecture Basics,Books,UrbanCart,1094.96,658.47,18,Metro Wholesale,N,2025-08-14
P00079,BOO-FRE-00079,FreshNest Data Engineering Handbook,Books,FreshNest,1544.76,1136.18,12,Pacific Imports,Y,2025-01-01
P00080,BOO-SWI-00080,SwiftRun Python for Analytics,Books,SwiftRun,1101.88,616.28,12,Global Distributors,Y,2024-02-22
P00081,BOO-GRE-00081,GreenLeaf SQL Interview Guide,Books,GreenLeaf,725.47,474.87,18,Global Distributors,Y,2022-12-14
P00082,GRO-GRE-00082,GreenLeaf Organic Honey,Grocery,GreenLeaf,497.06,348.07,18,Northstar Traders,Y,2025-10-16
P00083,FAS-SWI-00083,SwiftRun Leather Wallet,Fashion,SwiftRun,1083.18,597.39,28,Metro Wholesale,Y,2020-11-11
P00084,HOM-URB-00084,UrbanCart Mixer Grinder,Home & Kitchen,UrbanCart,3481.12,2488.93,12,Northstar Traders,Y,2021-04-09
P00085,HOM-URB-00085,UrbanCart Dinner Set,Home & Kitchen,UrbanCart,2771.15,1786.03,12,Pacific Imports,Y,2021-07-05
P00086,BOO-APE-00086,Apex Python for Analytics,Books,Apex,823.97,628.0,28,Pacific Imports,Y,2023-03-07
P00087,BOO-SWI-00087,SwiftRun Cloud Architecture Basics,Books,SwiftRun,1009.13,747.75,12,Pacific Imports,Y,2021-11-17
P00088,GRO-PRI-00088,PrimeWorks Breakfast Cereal,Grocery,PrimeWorks,350.14,223.04,5,Metro Wholesale,N,2021-09-04
P00089,BOO-APE-00089,Apex Business Strategy Casebook,Books,Apex,959.68,645.12,5,Northstar Traders,Y,2020-01-05
P00090,SPO-HOM-00090,HomeEase Badminton Racket,Sports,HomeEase,1526.39,1146.64,28,Metro Wholesale,N,2024-04-10
P00091,BEA-NOV-00091,Nova Perfume 100ml,Beauty,Nova,1325.23,806.45,5,Bharat Supply Co,N,2022-11-21
P00092,BEA-PRI-00092,PrimeWorks Face Wash,Beauty,PrimeWorks,316.65,212.01,12,Bharat Supply Co,N,2024-01-23
P00093,BOO-TEC-00093,TechPro SQL Interview Guide,Books,TechPro,833.2,539.43,18,Northstar Traders,Y,2024-08-19
P00094,HOM-HOM-00094,HomeEase Water Bottle Steel,Home & Kitchen,HomeEase,642.11,390.64,18,Northstar Traders,Y,2021-05-02
P00095,SPO-NOV-00095,Nova Cricket Bat,Sports,Nova,2338.52,1501.63,5,Metro Wholesale,N,2020-01-22
P00096,GRO-GRE-00096,GreenLeaf Breakfast Cereal,Grocery,GreenLeaf,353.22,215.64,5,Northstar Traders,N,2025-11-04
P00097,ELE-SWI-00097,SwiftRun USB-C Hub,Electronics,SwiftRun,1947.59,1161.53,18,Metro Wholesale,Y,2025-09-22
P00098,HOM-APE-00098,Apex LED Desk Lamp,Home & Kitchen,Apex,992.9,695.68,5,Bharat Supply Co,N,2023-12-17
P00099,HOM-APE-00099,Apex Dinner Set,Home & Kitchen,Apex,2860.78,1618.58,18,Pacific Imports,Y,2023-11-24
P00100,BOO-SWI-00100,SwiftRun Python for Analytics,Books,SwiftRun,1098.48,749.41,28,Pacific Imports,Y,2020-10-23
P00101,ELE-HOM-00101,HomeEase Mechanical Keyboard,Electronics,HomeEase,4112.23,2805.47,28,Pacific Imports,N,2022-09-23
P00102,GRO-SWI-00102,SwiftRun Organic Honey,Grocery,SwiftRun,603.1,451.28,18,Global Distributors,N,2022-06-21
P00103,FAS-BLU-00103,BluePeak Leather Wallet,Fashion,BluePeak,949.88,524.56,12,Bharat Supply Co,Y,2024-06-22
P00104,ELE-SWI-00104,SwiftRun USB-C Hub,Electronics,SwiftRun,1852.57,1112.04,12,Metro Wholesale,N,2022-03-28
P00105,FAS-FRE-00105,FreshNest Women Kurti,Fashion,FreshNest,1116.4,678.13,12,Global Distributors,Y,2020-11-17
P00106,BOO-HOM-00106,HomeEase Data Engineering Handbook,Books,HomeEase,1601.92,1193.5,18,Northstar Traders,Y,2025-07-03
P00107,BOO-GRE-00107,GreenLeaf SQL Interview Guide,Books,GreenLeaf,656.25,447.98,28,Northstar Traders,Y,2025-08-20
P00108,BEA-SWI-00108,SwiftRun Moisturizer,Beauty,SwiftRun,619.06,439.9,5,Global Distributors,Y,2024-04-03
P00109,BOO-URB-00109,UrbanCart SQL Interview Guide,Books,UrbanCart,747.53,451.91,18,Bharat Supply Co,Y,2025-08-04
P00110,BEA-BLU-00110,BluePeak Sunscreen SPF50,Beauty,BluePeak,713.85,438.53,12,Pacific Imports,Y,2021-02-13
P00111,BOO-GRE-00111,GreenLeaf Cloud Architecture Basics,Books,GreenLeaf,1020.34,748.94,28,Global Distributors,Y,2024-09-22
P00112,BEA-HOM-00112,HomeEase Perfume 100ml,Beauty,HomeEase,1478.55,1080.27,5,Northstar Traders,Y,2021-10-31
P00113,GRO-NOV-00113,Nova Organic Honey,Grocery,Nova,513.94,322.23,18,Bharat Supply Co,Y,2024-08-13
P00114,BOO-PRI-00114,PrimeWorks Python for Analytics,Books,PrimeWorks,971.24,679.19,18,Bharat Supply Co,Y,2025-09-21
P00115,ELE-PRI-00115,PrimeWorks Power Bank 20000mAh,Electronics,PrimeWorks,1928.25,1340.7,12,Bharat Supply Co,N,2024-07-15
P00116,HOM-FRE-00116,FreshNest Water Bottle Steel,Home & Kitchen,FreshNest,584.26,409.09,28,Bharat Supply Co,N,2024-01-27
P00117,GRO-URB-00117,UrbanCart Almonds 500g,Grocery,UrbanCart,599.39,332.85,18,Global Distributors,Y,2021-11-14
P00118,GRO-APE-00118,Apex Breakfast Cereal,Grocery,Apex,343.36,220.2,5,Global Distributors,Y,2021-09-28
P00119,GRO-FRE-00119,FreshNest Green Tea Pack,Grocery,FreshNest,331.19,203.8,12,Pacific Imports,Y,2020-04-27
P00120,FAS-SWI-00120,SwiftRun Leather Wallet,Fashion,SwiftRun,1114.75,751.71,28,Metro Wholesale,Y,2025-02-13
P00121,BOO-HOM-00121,HomeEase Cloud Architecture Basics,Books,HomeEase,1215.4,817.69,28,Pacific Imports,Y,2021-01-01
P00122,FAS-TEC-00122,TechPro Women Kurti,Fashion,TechPro,1024.21,686.59,12,Bharat Supply Co,Y,2025-04-05
P00123,GRO-TEC-00123,TechPro Almonds 500g,Grocery,TechPro,554.02,359.56,12,Global Distributors,Y,2022-02-11
P00124,GRO-URB-00124,UrbanCart Olive Oil 1L,Grocery,UrbanCart,1134.84,792.77,12,Bharat Supply Co,Y,2024-09-25
P00125,BEA-TEC-00125,TechPro Perfume 100ml,Beauty,TechPro,1252.07,902.58,28,Metro Wholesale,Y,2022-01-17
P00126,GRO-SWI-00126,SwiftRun Breakfast Cereal,Grocery,SwiftRun,382.58,265.22,5,Metro Wholesale,Y,2025-12-31
P00127,FAS-URB-00127,UrbanCart Running Shoes,Fashion,UrbanCart,3407.1,2443.69,12,Global Distributors,N,2022-06-08
P00128,BEA-BLU-00128,BluePeak Hair Serum,Beauty,BluePeak,413.15,302.44,12,Global Distributors,Y,2024-05-26
P00129,HOM-TEC-00129,TechPro Bedsheet Cotton,Home & Kitchen,TechPro,1764.17,1306.36,12,Northstar Traders,N,2022-10-09
P00130,GRO-NOV-00130,Nova Organic Honey,Grocery,Nova,528.17,409.8,18,Bharat Supply Co,Y,2020-06-21
P00131,ELE-SWI-00131,SwiftRun Mechanical Keyboard,Electronics,SwiftRun,3867.82,2304.09,12,Global Distributors,Y,2024-11-13
P00132,FAS-NOV-00132,Nova Backpack 30L,Fashion,Nova,1612.31,976.92,28,Pacific Imports,Y,2024-03-01
P00133,GRO-PRI-00133,PrimeWorks Basmati Rice 5kg,Grocery,PrimeWorks,787.31,608.61,5,Global Distributors,Y,2021-09-22
P00134,HOM-FRE-00134,FreshNest Non-stick Pan,Home & Kitchen,FreshNest,1268.73,860.73,18,Northstar Traders,Y,2020-03-28
P00135,HOM-APE-00135,Apex Water Bottle Steel,Home & Kitchen,Apex,625.43,406.92,28,Metro Wholesale,Y,2023-11-25
P00136,BEA-HOM-00136,HomeEase Perfume 100ml,,HomeEase,1187.46,798.17,18,Pacific Imports,Y,2025-02-02
P00137,GRO-URB-00137,UrbanCart Organic Honey,Grocery,UrbanCart,600.38,415.79,12,Bharat Supply Co,Y,2024-05-06
P00138,BEA-URB-00138,UrbanCart Perfume 100ml,Beauty,UrbanCart,1422.69,888.04,5,Global Distributors,Y,2020-06-28
P00139,BEA-FRE-00139,FreshNest Face Wash,Beauty,FreshNest,266.95,158.59,28,Northstar Traders,Y,2020-07-20
P00140,ELE-FRE-00140,FreshNest Wireless Mouse,Electronics,FreshNest,888.73,678.57,28,Global Distributors,Y,2024-08-30
P00141,ELE-HOM-00141,HomeEase Mechanical Keyboard,Electronics,HomeEase,3031.05,1716.15,12,Pacific Imports,Y,2021-02-18
P00142,HOM-HOM-00142,HomeEase Mixer Grinder,Home & Kitchen,HomeEase,3893.51,2651.89,28,Global Distributors,Y,2025-02-21
P00143,ELE-URB-00143,UrbanCart USB-C Hub,Electronics,UrbanCart,2031.9,1353.41,28,Bharat Supply Co,Y,2023-08-22
P00144,SPO-BLU-00144,BluePeak Badminton Racket,Sports,BluePeak,-1638.95,1113.7,18,Bharat Supply Co,N,2025-01-06
P00145,ELE-PRI-00145,PrimeWorks Mechanical Keyboard,Electronics,PrimeWorks,2996.97,1741.45,5,Bharat Supply Co,Y,2022-05-29
P00146,BEA-HOM-00146,HomeEase Sunscreen SPF50,Beauty,HomeEase,631.65,430.31,5,Global Distributors,N,2023-12-27
P00147,BOO-FRE-00147,FreshNest Python for Analytics,Books,FreshNest,856.3,530.11,12,Global Distributors,Y,2025-05-30
P00148,SPO-NOV-00148,Nova Dumbbell Set,Sports,Nova,3263.19,2020.21,28,Global Distributors,Y,2023-10-01
P00149,GRO-FRE-00149,FreshNest Basmati Rice 5kg,Grocery,FreshNest,918.11,684.34,28,Global Distributors,Y,2025-11-17
P00150,HOM-HOM-00150,HomeEase Water Bottle Steel,Home & Kitchen,HomeEase,676.34,395.82,28,Northstar Traders,Y,2022-06-28
P00151,HOM-BLU-00151,BluePeak Mixer Grinder,Home & Kitchen,BluePeak,3089.68,2105.4,28,Bharat Supply Co,Y,2024-06-20
P00152,HOM-URB-00152,UrbanCart Bedsheet Cotton,Home & Kitchen,UrbanCart,1562.51,930.58,12,Pacific Imports,Y,2022-09-19
P00153,FAS-PRI-00153,PrimeWorks Sports T-shirt,Fashion,PrimeWorks,619.2,436.23,18,Metro Wholesale,Y,2023-11-12
P00154,FAS-BLU-00154,BluePeak Women Kurti,Fashion,BluePeak,1314.69,1022.48,12,Northstar Traders,Y,2022-08-14
P00155,BEA-NOV-00155,Nova Face Wash,Beauty,Nova,342.6,207.58,12,Bharat Supply Co,Y,2023-11-07
P00156,GRO-APE-00156,Apex Almonds 500g,Grocery,Apex,637.81,459.35,18,Pacific Imports,N,2021-08-01
P00157,GRO-HOM-00157,HomeEase Breakfast Cereal,Grocery,HomeEase,346.09,203.91,18,Global Distributors,N,2020-02-04
P00158,SPO-NOV-00158,Nova Football,Sports,Nova,856.77,642.15,12,Northstar Traders,Y,2023-07-16
P00159,ELE-FRE-00159,FreshNest USB-C Hub,Electronics,FreshNest,1994.44,1307.03,5,Global Distributors,Y,2025-12-08
P00160,SPO-APE-00160,Apex Cricket Bat,Sports,Apex,2470.79,1558.92,12,Pacific Imports,Y,2020-09-10
P00161,BEA-HOM-00161,HomeEase Face Wash,Beauty,HomeEase,367.66,221.29,28,Metro Wholesale,Y,2024-04-14
P00162,BEA-GRE-00162,GreenLeaf Moisturizer,Beauty,GreenLeaf,472.13,276.26,18,Northstar Traders,Y,2022-04-26
P00163,SPO-URB-00163,UrbanCart Cricket Bat,Sports,UrbanCart,2433.02,1732.75,12,Northstar Traders,Y,2021-10-09
P00164,SPO-URB-00164,UrbanCart Yoga Mat,Sports,UrbanCart,780.65,587.3,18,Northstar Traders,N,2023-05-27
P00165,SPO-URB-00165,UrbanCart Football,Sports,UrbanCart,1160.48,666.76,18,Pacific Imports,Y,2022-08-09
P00166,ELE-URB-00166,UrbanCart Smart Watch,Electronics,UrbanCart,5253.6,3620.17,18,Metro Wholesale,N,2025-07-05
P00167,HOM-GRE-00167,GreenLeaf Air Fryer,Home & Kitchen,GreenLeaf,8089.55,4477.19,28,Metro Wholesale,Y,2022-04-17
P00168,GRO-SWI-00168,SwiftRun Breakfast Cereal,Grocery,SwiftRun,448.93,336.41,28,Northstar Traders,Y,2024-04-07
P00169,SPO-PRI-00169,PrimeWorks Dumbbell Set,Sports,PrimeWorks,3192.33,2226.72,5,Pacific Imports,Y,2025-01-23
P00170,HOM-HOM-00170,HomeEase Dinner Set,Home & Kitchen,HomeEase,2519.6,1811.82,5,Metro Wholesale,Y,2024-12-05
P00171,BEA-SWI-00171,SwiftRun Sunscreen SPF50,Beauty,SwiftRun,549.04,339.15,12,Northstar Traders,N,2021-01-05
P00172,BEA-HOM-00172,HomeEase Perfume 100ml,Beauty,HomeEase,1174.46,757.67,12,Northstar Traders,Y,2025-02-05
P00173,SPO-NOV-00173,Nova Cricket Bat,Sports,Nova,2215.3,1578.25,5,Pacific Imports,N,2025-09-26
P00174,BOO-APE-00174,Apex Cloud Architecture Basics,Books,Apex,1271.88,966.4,12,Metro Wholesale,Y,2022-01-02
P00175,FAS-SWI-00175,SwiftRun Running Shoes,Fashion,SwiftRun,2895.57,1712.9,12,Global Distributors,Y,2020-02-20
P00176,BOO-PRI-00176,PrimeWorks Data Engineering Handbook,Books,PrimeWorks,1562.8,945.04,28,Northstar Traders,N,2024-12-14
P00177,HOM-TEC-00177,TechPro Dinner Set,Home & Kitchen,TechPro,2743.67,1860.86,5,Metro Wholesale,Y,2020-08-13
P00178,BEA-PRI-00178,PrimeWorks Face Wash,Beauty,PrimeWorks,354.38,219.23,5,Global Distributors,N,2021-12-31
P00179,SPO-PRI-00179,PrimeWorks Dumbbell Set,Sports,PrimeWorks,3493.6,2064.04,18,Global Distributors,Y,2023-05-10
P00180,BEA-GRE-00180,GreenLeaf Face Wash,Beauty,GreenLeaf,355.01,200.56,5,Bharat Supply Co,Y,2025-11-28
P00181,HOM-APE-00181,Apex Dinner Set,Home & Kitchen,Apex,2233.41,1603.23,5,Northstar Traders,Y,2024-10-15
P00182,BOO-PRI-00182,PrimeWorks Business Strategy Casebook,Books,PrimeWorks,792.24,459.37,28,Northstar Traders,Y,2022-08-11
P00183,ELE-APE-00183,Apex Bluetooth Headphones,Electronics,Apex,2588.85,1898.27,12,Pacific Imports,N,2024-08-22
P00184,BEA-APE-00184,Apex Moisturizer,Beauty,Apex,552.02,391.22,5,Bharat Supply Co,Y,2025-09-06
P00185,ELE-BLU-00185,BluePeak Webcam HD,Electronics,BluePeak,2217.51,1509.8,12,Metro Wholesale,Y,2023-10-16
P00186,GRO-URB-00186,UrbanCart Basmati Rice 5kg,Grocery,UrbanCart,833.04,578.34,18,Northstar Traders,N,2020-08-17
P00187,SPO-HOM-00187,HomeEase Football,Sports,HomeEase,1063.29,635.74,18,Global Distributors,Y,2023-02-22
P00188,GRO-HOM-00188,HomeEase Organic Honey,Grocery,HomeEase,592.29,403.54,5,Bharat Supply Co,Y,2020-05-09
P00189,HOM-SWI-00189,SwiftRun Water Bottle Steel,Home & Kitchen,SwiftRun,707.89,438.61,12,Global Distributors,Y,2020-06-02
P00190,GRO-APE-00190,Apex Breakfast Cereal,Grocery,Apex,466.67,353.8,18,Northstar Traders,Y,2023-09-02
P00191,BEA-URB-00191,UrbanCart Perfume 100ml,Beauty,UrbanCart,1210.77,676.1,5,Global Distributors,Y,2020-06-29
P00192,ELE-SWI-00192,SwiftRun Webcam HD,Electronics,SwiftRun,2651.28,1521.08,18,Global Distributors,Y,2022-05-09
P00193,FAS-BLU-00193,BluePeak Backpack 30L,Fashion,BluePeak,1853.42,1305.47,12,Bharat Supply Co,Y,2020-03-03
P00194,ELE-HOM-00194,HomeEase Laptop Stand,Electronics,HomeEase,1286.18,801.61,18,Pacific Imports,Y,2021-12-02
P00195,FAS-SWI-00195,SwiftRun Backpack 30L,Fashion,SwiftRun,1391.59,774.65,5,Global Distributors,N,2020-08-08
P00196,SPO-PRI-00196,PrimeWorks Dumbbell Set,Sports,PrimeWorks,3304.26,2341.82,18,Bharat Supply Co,Y,2022-03-22
P00197,BOO-SWI-00197,SwiftRun Data Engineering Handbook,Books,SwiftRun,1399.17,799.44,28,Global Distributors,N,2023-06-25
P00198,GRO-FRE-00198,FreshNest Almonds 500g,Grocery,FreshNest,797.61,465.05,18,Bharat Supply Co,N,2022-01-21
P00199,BEA-SWI-00199,SwiftRun Sunscreen SPF50,Beauty,SwiftRun,625.96,353.69,28,Northstar Traders,Y,2023-03-02
P00200,HOM-NOV-00200,Nova Dinner Set,Home & Kitchen,Nova,2529.67,1806.9,5,Bharat Supply Co,N,2024-06-29
P00201,HOM-URB-00201,UrbanCart Dinner Set,Home & Kitchen,UrbanCart,3097.65,1977.16,28,Northstar Traders,Y,2022-08-25
