transaction_id,order_id,product_id,transaction_date,quantity,unit_price,discount_amount,tax_amount,total_amount,transaction_type,payment_status
T00000119,O0000035,P00445,2025-08-02 20:42:00,2,450.95,0.0,252.53,1154.43,Sale,Refunded
T00000120,O0000316,P00242,2023-01-13 21:08:00,5,1047.96,37.43,1456.66,6659.03,Exchange,Settled
T00000121,O0000635,P00277,2024-12-15 09:58:00,1,673.38,57.77,73.87,689.48,Sale,Refunded
T00000122,O0000333,P00314,2023-10-22 01:14:00,1,715.07,0.0,128.71,843.78,Sale,Settled
T00000123,O0001317,P00025,2025-12-03 12:39:00,2,1937.72,0.0,465.05,4340.49,Sale,Authorized
T00000124,O0000464,P00226,2024-03-19 09:34:00,2,1204.05,0.0,433.46,2841.56,Exchange,Failed
T00000125,O9999999,P00176,2024-01-09 00:04:00,2,1562.8,0.0,562.61,3688.21,Sale,Settled
T00000126,O0000635,P00504,2023-08-03 23:52:00,5,2677.7,19.28,2406.46,15775.68,Sale,Captured
T00000127,O0000926,P00468,2025-12-20 07:36:00,3,2184.65,0.0,1179.71,7733.66,Sale,Settled
T00000128,O0001311,P00499,2025-07-18 05:38:00,2,610.27,0.0,146.46,1367.0,Sale,Authorized
T00000129,O0000115,P00058,2024-03-01 22:01:00,4,484.62,31.75,228.81,2135.54,Refund,Failed
T00000130,O0001252,P00179,2023-07-22 06:13:00,1,3493.6,19.64,416.88,3890.84,Exchange,Captured
T00000131,O0000815,P00359,2023-03-09 18:57:00,4,2650.85,72.72,1895.52,12426.2,Sale,Failed
T00000132,O0000900,P00438,2024-12-15 13:59:00,2,937.29,105.56,212.28,1981.3,Sale,Failed
T00000133,O0001360,P00332,2025-01-18 01:25:00,4,426.36,0.0,477.52,2182.96,Sale,Settled
T00000134,O9999999,P00006,2025-04-25 16:29:00,3,1321.73,149.77,686.78,4502.2,Refund,Refunded
T00000135,O0001494,P00559,2023-01-14 22:40:00,1,1448.43,0.0,405.56,1853.99,Sale,Refunded
T00000136,O0000210,P00428,2023-02-26 20:39:00,2,1494.47,0.0,358.67,3347.61,Sale,Refunded
T00000137,O0001377,P00289,2025-10-05 12:15:00,3,1918.46,36.98,686.21,6404.61,Sale,Refunded
T00000138,O0000966,P00646,2024-07-18 11:48:00,1,1613.91,0.0,290.5,1904.41,Exchange,Settled
T00000139,O0000465,P00340,2025-06-06 18:22:00,5,975.69,0.0,243.92,5122.37,Exchange,Settled
T00000140,O0000970,P00330,2023-05-15 17:05:00,1,2473.61,0.0,123.68,2597.29,Sale,Authorized
T00000141,O9999999,P00434,2023-04-21 10:42:00,2,2264.35,52.55,223.81,4699.96,Exchange,Failed
T00000142,O0001341,P00464,2025-01-21 16:13:00,3,1175.56,120.48,953.74,4359.94,Exchange,Settled
T00000143,O0000614,P00167,2026-01-21 20:59:00,1,8089.55,0.0,970.75,9060.3,Refund,Refunded
T00000144,O0000072,P00383,2025-07-26 11:53:00,3,,0.0,519.65,4850.09,Refund,Refunded
T00000145,O0000061,P00412,2024-03-08 11:52:00,1,2875.16,27.17,142.4,2990.39,Exchange,Captured
T00000146,O0000738,P00603,2025-04-18 18:39:00,3,684.45,0.0,102.67,2156.02,Sale,Settled
T00000147,O0000516,P00613,2025-10-15 13:07:00,1,991.92,0.0,119.03,1110.95,Sale,Captured
T00000148,O0000531,P00375,2025-08-19 06:45:00,5,663.73,27.09,592.48,3884.04,Sale,Failed
T00000149,O9999999,P00525,2025-12-18 15:55:00,3,869.63,0.0,730.49,3339.38,Sale,Authorized
T00000150,O0000970,P00625,2024-06-28 07:10:00,3,1540.2,0.0,231.03,4851.63,Refund,Authorized
T00000151,O0001233,P00427,2025-11-15 23:04:00,2,1459.88,49.27,143.52,3014.01,Sale,Refunded
T00000152,O0000111,P00313,2024-10-13 03:38:00,3,1062.9,98.56,370.82,3460.96,Sale,Failed
T00000153,O0000975,P00115,2023-02-04 00:45:00,1,1928.25,0.0,347.08,2275.33,Sale,Captured
T00000154,O0000090,P00128,2023-07-15 07:31:00,5,413.15,99.69,235.93,2201.99,Sale,Authorized
T00000155,O0000969,P00588,2024-04-02 07:15:00,2,732.6,113.91,378.36,1729.65,Exchange,Captured
T00000156,O0001287,P00343,2026-02-06 11:18:00,2,734.04,73.99,390.35,1784.44,Refund,Authorized
T00000157,O0000090,P00527,2025-07-25 21:24:00,2,1130.24,63.27,109.86,2307.07,Sale,Failed
T00000158,O0000239,P00252,2024-07-08 08:59:00,3,991.21,60.04,349.63,3263.22,Exchange,Settled
T00000159,O0001154,P00085,2024-12-30 08:42:00,5,2771.15,71.52,2481.16,16265.39,Refund,Captured
T00000160,O0000301,P00057,2023-08-09 14:53:00,3,1219.37,133.44,422.96,3947.63,Sale,Settled
T00000161,O0000581,P00309,2024-09-25 16:04:00,3,3773.28,97.57,3142.24,14364.51,Sale,Refunded
T00000162,O0000807,P00306,2023-02-20 08:15:00,4,660.17,0.0,316.88,2957.56,Sale,Authorized
T00000163,O0000459,P00448,2024-03-15 15:31:00,5,525.43,21.01,312.74,2918.88,Refund,Authorized
T00000164,O0000311,P00168,2024-02-21 16:43:00,3,448.93,0.0,67.34,1414.13,Refund,Captured
T00000165,O0000933,P00150,2024-03-19 15:03:00,1,676.34,0.0,121.74,798.08,Sale,Captured
T00000166,O0001141,P00643,2023-11-23 03:00:00,5,1827.15,17.74,1641.24,10759.25,Refund,Settled
T00000167,O0000368,P00426,2025-01-26 03:46:00,2,602.86,0.0,217.03,1422.75,Exchange,Refunded
T00000168,O0000192,P00541,not_a_date,1,320.93,145.43,31.59,207.09,Sale,Captured
T00000169,O0000523,P00195,2024-11-26 06:51:00,2,1391.59,62.26,489.77,3210.69,Refund,Authorized
T00000170,O0001281,P00013,2024-01-15 09:09:00,3,1661.22,106.51,585.26,5462.41,Sale,Authorized
T00000171,O0000942,P00231,2023-01-08 21:33:00,1,883.06,0.0,105.97,989.03,Sale,Settled
T00000172,O0001174,P00030,2025-01-19 15:39:00,4,3177.88,0.0,1525.38,14236.9,Exchange,Authorized
T00000173,O0000229,P00583,2024-07-29 09:41:00,5,716.61,50.94,423.85,3955.96,Refund,Refunded
T00000174,O0000729,P00147,2025-10-06 16:36:00,5,856.3,0.0,1198.82,5480.32,Sale,Authorized
T00000175,O0000763,P00283,2025-03-09 01:07:00,3,2334.85,64.39,1943.24,8883.4,Sale,Settled
T00000176,O0000051,P00035,2025-08-23 09:15:00,1,742.31,91.1,117.22,768.43,Sale,Refunded
T00000177,O0001309,P00094,2024-04-09 01:59:00,5,642.11,0.0,898.95,4109.5,Exchange,Captured
T00000178,O0000972,P00138,2024-02-26 23:05:00,3,1422.69,0.0,213.4,4481.47,Sale,Settled
T00000179,O0001380,P00302,2023-11-09 18:10:00,5,815.65,0.0,489.39,4567.64,Sale,Settled
T00000180,O0000158,P00443,2024-02-27 12:21:00,5,419.5,0.0,104.88,2202.38,Sale,Captured
T00000181,O0000327,P00262,2023-12-09 13:58:00,4,2361.96,88.4,1123.13,10482.57,Refund,Refunded
T00000182,O0000687,P00171,2025-01-07 19:50:00,2,549.04,67.07,51.55,1082.56,Sale,Refunded
T00000183,O0000557,P00235,2023-03-23 22:41:00,4,4590.46,144.27,5100.92,23318.49,Exchange,Failed
T00000184,O0000223,P00439,2026-03-05 19:23:00,1,1758.69,33.65,207.0,1932.04,Sale,Settled
T00000185,O0000192,P00356,2023-05-05 22:33:00,1,454.95,0.0,127.39,582.34,Exchange,Captured
T00000186,O0000757,P00361,2024-06-22 20:35:00,5,1208.87,0.0,1087.98,7132.33,Exchange,Failed
T00000187,O0000599,P00166,2024-03-12 12:33:00,5,5253.6,0.0,4728.24,30996.24,Sale,Refunded
T00000188,O0001082,P00336,2025-09-12 05:48:00,1,540.61,25.56,144.21,,Sale,Refunded
T00000189,O0000900,P00535,2023-11-22 09:26:00,5,982.51,0.0,589.51,5502.06,Exchange,Refunded
T00000190,O0000444,P00450,2025-02-28 06:20:00,1,456.44,0.0,82.16,538.6,Sale,Failed
T00000191,O0000371,P00043,2023-05-14 09:19:00,5,635.71,14.41,158.21,3322.35,Exchange,Failed
T00000192,O0001345,P00296,2025-12-22 00:24:00,1,2094.71,0.0,377.05,2471.76,Exchange,Refunded
T00000193,O0000188,P00468,2023-02-27 19:29:00,1,2184.65,0.0,611.7,2796.35,Exchange,Authorized
T00000194,O0001430,P00240,2026-03-15 04:28:00,4,1093.73,45.42,1212.26,5541.76,Sale,Authorized
T00000195,O0001306,P00624,2023-04-23 02:32:00,4,1264.8,0.0,1416.58,6475.78,Refund,Failed
T00000196,O0000018,P00387,2023-03-25 00:31:00,-1,,0.0,0.0,0.0,Sale,Captured
T00000197,O0001439,P00406,2024-10-14 03:54:00,5,931.19,147.88,225.4,4733.47,Sale,Refunded
T00000198,O0001160,P00201,2025-08-06 13:39:00,3,3097.65,0.0,2602.03,11894.98,Sale,Settled
T00000199,O0000872,P00235,2026-03-08 12:16:00,2,4590.46,48.89,456.6,9588.63,Sale,Refunded
T00000200,O0000914,P00150,2024-10-31 08:54:00,1,676.34,98.47,69.34,647.21,Sale,Authorized
T00000201,O0000321,P00086,2024-06-23 20:33:00,5,823.97,64.19,730.02,,Exchange,Settled
T00000202,O0000603,P00146,2025-02-06 05:14:00,3,631.65,0.0,227.39,2122.34,Exchange,Failed
T00000203,O0001406,P00199,2023-09-24 00:15:00,-2,625.96,0.0,0.0,0.0,Refund,Settled
T00000204,O0000365,P00523,2023-03-31 09:39:00,4,1468.59,35.3,291.95,6131.01,Refund,Failed
T00000205,O0000895,P00179,2024-09-30 19:38:00,5,3493.6,49.25,4877.25,22296.0,Refund,Authorized
T00000206,O0001220,P00336,2024-09-15 13:22:00,3,540.61,0.0,291.93,1913.76,Refund,Authorized
T00000207,O0000954,P00515,2024-03-16 04:59:00,5,963.16,67.45,1329.54,6077.89,Refund,Failed
T00000208,O0001095,P00647,2025-05-27 22:19:00,3,4699.55,80.51,2523.27,16541.41,Sale,Authorized
T00000209,O0000615,P00240,2025-01-05 06:35:00,4,1093.73,135.11,763.17,5002.98,Sale,Captured
T00000210,O0001482,P00251,2023-09-29 16:38:00,2,1353.72,25.37,321.85,3003.92,Refund,Settled
T00000211,O0000305,P00006,2024-02-18 07:51:00,2,1321.73,52.36,129.56,2720.66,Exchange,Authorized
T00000212,O0000987,P00009,2024-12-30 23:49:00,1,1116.34,0.0,55.82,1172.16,Sale,Authorized
T00000213,O0000329,P00562,2024-11-22 01:36:00,1,1506.43,48.13,408.32,1866.62,Refund,Settled
T00000214,O0001241,P00141,2023-05-08 00:41:00,1,3031.05,0.0,151.55,3182.6,Sale,Captured
T00000215,O0000029,P00385,2024-01-22 17:00:00,3,3602.73,0.0,3026.29,13834.48,Sale,Captured
T00000216,O0000855,P00232,2025-07-28 10:14:00,1,757.45,0.0,37.87,795.32,Refund,Authorized
T00000217,O0000381,P00443,2024-06-10 23:24:00,3,419.5,0.0,352.38,1610.88,Sale,Refunded
T00000218,O0001019,P00308,2024-09-28 01:22:00,2,779.47,82.13,265.83,1742.64,Exchange,Refunded
T00000219,O0000274,P00521,2024-11-14 19:29:00,5,3714.61,66.19,3331.23,21838.09,Sale,Captured
T00000220,O0000707,P00303,2023-01-20 03:19:00,1,713.89,0.0,35.69,749.58,Refund,Failed
T00000221,O0000762,P00214,2025-06-20 22:39:00,5,2780.21,39.85,2495.02,16356.22,Refund,Refunded
T00000222,O0000486,P00581,2023-09-19 20:22:00,3,7332.84,100.13,1094.92,22993.31,Sale,Settled
T00000223,O0000999,P00224,2025-12-23 23:53:00,1,393.28,0.0,70.79,464.07,Sale,Authorized
T00000224,O0001005,P00244,2026-02-27 20:11:00,2,1621.78,0.0,583.84,3827.4,Sale,Settled
T00000225,O0001122,P00488,2024-12-14 22:42:00,1,718.55,0.0,86.23,804.78,Sale,Settled
T00000226,O0000357,P00339,2024-07-28 06:43:00,4,1347.35,17.82,1504.04,6875.62,Sale,Authorized
T00000227,O0001126,P00431,2023-11-10 21:44:00,5,3348.87,73.17,3000.81,19671.99,Refund,Failed
T00000228,O0001209,P00451,2023-09-21 23:34:00,3,1456.88,21.89,217.44,4566.19,Sale,Refunded
T00000229,O0000861,P00293,2023-06-28 10:24:00,5,1022.92,0.0,255.73,5370.33,Sale,Captured
T00000230,O0000204,P00531,2024-05-17 13:15:00,1,319.02,86.72,11.62,243.92,Exchange,Settled
T00000231,O0001350,P00092,2025-06-20 23:51:00,4,316.65,14.83,62.59,1314.36,Sale,Settled
T00000232,O0000555,P00316,2025-07-12 23:31:00,2,3092.88,28.64,1108.28,7265.4,Sale,Failed
T00000233,O0000710,P00103,2025-01-21 07:54:00,5,949.88,18.61,567.69,5298.48,Sale,Authorized
T00000234,O0000949,P00518,2024-01-18 10:01:00,4,3736.33,0.0,747.27,15692.59,Sale,Failed
T00000235,O0000040,P00528,2025-05-11 16:39:00,3,537.85,14.55,79.95,1678.95,Sale,Captured
T00000236,O0001017,P00278,2023-01-29 21:48:00,1,790.72,0.0,142.33,933.05,Sale,Refunded
T00000237,O0000795,P00052,2023-01-16 16:31:00,-1,503.56,0.0,0.0,0.0,Exchange,Authorized
T00000238,O0001192,P00647,2026-02-18 03:39:00,2,4699.55,29.75,1124.32,,Refund,Settled
T00000239,O0000152,P00477,2025-11-30 13:45:00,3,727.95,38.1,107.29,2253.04,Sale,Failed
T00000240,O0000178,P00342,2025-04-06 13:21:00,2,740.78,36.24,72.27,1517.59,Sale,Authorized
T00000241,O0000944,P00297,2025-05-23 05:50:00,5,703.12,0.0,984.37,4499.97,Refund,Failed
T00000242,O0001063,P00131,2023-08-14 12:13:00,3,3867.82,28.15,2083.56,13658.87,Sale,Settled
T00000243,O0000353,P00548,2024-11-14 00:12:00,1,1170.16,0.0,140.42,1310.58,Sale,Refunded
T00000244,O0001035,P00452,2024-10-07 09:45:00,3,2497.94,93.37,2072.13,9472.58,Refund,Captured
T00000245,O0000363,P00109,2025-08-22 08:52:00,2,747.53,0.0,418.62,1913.68,Sale,Settled
T00000246,O0001363,P00389,2025-05-06 19:36:00,3,1152.22,87.21,606.5,3975.95,Refund,Settled
T00000247,O0000161,P00234,2024-06-23 02:01:00,3,969.08,0.0,348.87,3256.11,Sale,Refunded
T00000248,O0001272,P00457,2023-03-29 13:52:00,4,950.2,0.0,456.1,4256.9,Exchange,Captured
T00000249,O0001393,P00499,2024-02-20 18:30:00,4,610.27,59.5,428.68,2810.26,Exchange,Captured
T00000250,O0000026,P00224,2025-09-04 23:43:00,3,393.28,55.91,134.87,1258.8,Sale,Authorized
T00000251,O0000896,P00407,2025-10-24 08:30:00,4,991.18,30.06,196.73,4131.39,Exchange,Failed
T00000252,O0000624,P00359,2025-08-10 22:37:00,5,2650.85,74.37,2372.38,15552.26,Sale,Failed
